mw_freebase,alogp,hba,hbd,psa,rtb,num_ro5_violations,cx_most_bpka,cx_logp,cx_logd,full_mwt,aromatic_rings,heavy_atoms,qed_weighted,mw_monoisotopic,hba_lipinski,hbd_lipinski,num_lipinski_ro5_violations,np_likeness_score,PCT_IHB_3D7,pXC50_3D7
408.63,3.83,4.0,2.0,30.54,11.0,0.0,9.98,3.91,-1.01,522.66,2.0,30.0,0.55,408.3253,4.0,2.0,0.0,-0.89,88.0,5.92724
557.63,5.44,9.0,3.0,137.69,10.0,2.0,6.46,5.13,5.08,557.63,5.0,40.0,0.2,557.1733,10.0,4.0,2.0,-1.11,100.0,6.35199
402.41,4.79,5.0,2.0,110.15,6.0,0.0,5.16,4.52,4.51,402.41,4.0,30.0,0.36,402.1328,8.0,2.0,0.0,-1.77,100.0,6.22872
648.87,5.42,6.0,3.0,119.05,16.0,2.0,10.01,4.63,2.11,648.87,3.0,46.0,0.19,648.3345,9.0,3.0,2.0,-0.44,99.0,7.23386
555.9,6.48,4.0,1.0,57.7,5.0,2.0,8.87,5.2,3.71,555.9,3.0,35.0,0.39,554.1084,6.0,1.0,2.0,-1.36,100.0,6.63099
357.36,4.05,7.0,1.0,94.93,6.0,0.0,8.31,3.39,3.35,357.36,3.0,26.0,0.66,357.1212,7.0,1.0,0.0,-0.51,100.0,6.56021
499.7,7.13,5.0,2.0,66.07,11.0,1.0,10.32,6.37,3.49,613.73,4.0,37.0,0.21,499.3311,6.0,2.0,1.0,-0.85,85.0,6.27529
450.47,5.39,3.0,3.0,100.87,5.0,1.0,5.14,5.02,5.01,450.47,5.0,34.0,0.33,450.1492,6.0,4.0,1.0,-1.56,100.0,6.60319
498.16,8.7,4.0,1.0,37.39,17.0,1.0,10.82,8.45,4.33,534.62,3.0,35.0,0.15,497.3173,4.0,1.0,1.0,-0.7,100.0,6.27163
416.59,5.45,4.0,2.0,43.95,5.0,1.0,9.56,4.64,2.5,530.62,4.0,30.0,0.45,416.2035,4.0,2.0,1.0,-1.0,98.0,6.73974
438.56,5.59,2.0,1.0,32.34,5.0,1.0,9.88,5.74,3.3,438.56,2.0,32.0,0.62,438.2483,3.0,1.0,1.0,-0.88,99.0,6.07956
479.65,4.02,5.0,2.0,70.67,9.0,0.0,9.46,3.24,1.29,593.67,3.0,34.0,0.49,479.2243,6.0,2.0,0.0,-1.08,100.0,6.14096
385.92,5.61,4.0,0.0,46.09,6.0,1.0,8.31,5.85,5.85,385.92,3.0,26.0,0.55,385.1016,4.0,0.0,1.0,-2.02,90.0,5.99072
415.51,6.16,3.0,2.0,64.92,5.0,1.0,8.31,6.19,6.19,529.53,3.0,31.0,0.52,415.206,4.0,2.0,1.0,-1.49,95.0,6.04942
375.35,5.35,3.0,1.0,51.32,4.0,1.0,8.31,5.28,5.28,375.35,3.0,27.0,0.67,375.1082,4.0,1.0,1.0,-0.73,97.0,6.69467
368.49,4.03,8.0,1.0,68.52,7.0,0.0,6.53,2.67,2.62,368.49,4.0,25.0,0.5,368.0878,6.0,1.0,0.0,-2.33,94.0,6.18995
317.39,4.66,4.0,1.0,46.51,5.0,0.0,7.43,4.22,3.91,317.39,3.0,24.0,0.55,317.1528,4.0,1.0,0.0,-0.96,100.0,6.15457
